County,Year,precip
Edwards,2012,20.49
Elk,2012,26.65
Ellis,2012,14.96
Ellsworth,2012,18.67
Finney,2012,13.79
Ford,2012,18.02
Franklin,2012,23.62
Geary,2012,22.22
Gove,2012,12.5
Graham,2012,12.76
Grant,2012,12.49
Gray,2012,15.46
Greeley,2012,8.06
Greenwood,2012,23.82
Hamilton,2012,9.5
Harper,2012,20.28
Harvey,2012,23.4
Haskell,2012,14.32
Hodgeman,2012,19.07
Jackson,2012,22.24
Jefferson,2012,22.13
Jewell,2012,22.14
Johnson,2012,25.36
Kearny,2012,10.77
Kingman,2012,21.92
Kiowa,2012,18.32
Labette,2012,36.54
Lane,2012,13.72
Leavenworth,2012,23.23
Lincoln,2012,16.72
Linn,2012,30.7
Logan,2012,11.11
Lyon,2012,22.7
Marion,2012,24
Marshall,2012,23.36
McPherson,2012,20.27
Meade,2012,14.69
Miami,2012,27.23
Mitchell,2012,20.77
Montgomery,2012,33.36
Morris,2012,22.55
Morton,2012,13.09
Nemaha,2012,23.76
Neosho,2012,34.76
Ness,2012,17.34
Norton,2012,14.16
Osage,2012,22.4
Osborne,2012,16.19
Ottawa,2012,20.32
Pawnee,2012,18.46
Phillips,2012,14.23
Pottawatomie,2012,22.62
Pratt,2012,18.11
Rawlins,2012,11.97
Reno,2012,19.49
Republic,2012,22.76
Rice,2012,20.06
Riley,2012,23.16
Rooks,2012,15.99
Rush,2012,16.05
Russell,2012,14.94
Saline,2012,19.46
Scott,2012,11.06
Sedgwick,2012,24.27
Seward,2012,13.93
Shawnee,2012,22.92
Sheridan,2012,13.81
Sherman,2012,10.06
Smith,2012,16.18
Stafford,2012,17.11
Stanton,2012,11.65
Stevens,2012,13.31
Sumner,2012,22.82
Thomas,2012,11.12
Trego,2012,13.04
Wabaunsee,2012,22.63
Wallace,2012,8.84
Washington,2012,21.87
Wichita,2012,9.22
Wilson,2012,29.77
Woodson,2012,26.88
Wyandotte,2012,23.28
Allen,2013,49.44
Anderson,2013,42.12
Atchison,2013,33.66
Barber,2013,29.09
Barton,2013,32.56
Bourbon,2013,54.38
Brown,2013,34.87
Butler,2013,42.46
Chase,2013,39.96
Chautauqua,2013,48.82
Cherokee,2013,49.44
Cheyenne,2013,14.64
Clark,2013,22.38
Clay,2013,32.26
Cloud,2013,29.68
Coffey,2013,36.86
Comanche,2013,25.64
Cowley,2013,43.69
Crawford,2013,54.95
Decatur,2013,16.17
Dickinson,2013,37.15
Doniphan,2013,34.62
Douglas,2013,33.97
Edwards,2013,25.83
Elk,2013,45.73
Ellis,2013,21.64
Ellsworth,2013,35.39
Finney,2013,17.8
Ford,2013,22.85
Franklin,2013,37.68
Geary,2013,33.6
Gove,2013,18.83
Graham,2013,16.83
Grant,2013,15.15
Gray,2013,17.5
Greeley,2013,16.44
Greenwood,2013,41.9
Hamilton,2013,13.4
Harper,2013,32.4
Harvey,2013,41.87
Haskell,2013,16.59
Hodgeman,2013,20.72
Jackson,2013,30.83
Jefferson,2013,31.26
Jewell,2013,25.95
Johnson,2013,35.88
Kearny,2013,14.45
Kingman,2013,38.39
Kiowa,2013,27.58
Labette,2013,51.2
Lane,2013,19.96
Leavenworth,2013,32.46
Lincoln,2013,27.56
Linn,2013,44.44
Logan,2013,16.96
Lyon,2013,34.27
Marion,2013,41.32
Marshall,2013,32.01
McPherson,2013,38.84
Meade,2013,19.33
Miami,2013,38.54
Mitchell,2013,26.09
Montgomery,2013,51.79
Morris,2013,34.87
Morton,2013,14.93
Nemaha,2013,32.95
Neosho,2013,49.11
Ness,2013,17.9
Norton,2013,17.16
Osage,2013,33.53
Osborne,2013,22.14
Ottawa,2013,33.47
Pawnee,2013,24.79
Phillips,2013,17.43
Pottawatomie,2013,32.54
Pratt,2013,31.5
Rawlins,2013,18.07
Reno,2013,39.28
Republic,2013,26.97
Rice,2013,39.15
Riley,2013,33.21
Rooks,2013,19.87
Rush,2013,21.08
Russell,2013,23.94
Saline,2013,36.4
Scott,2013,18.2
Sedgwick,2013,40.98
Seward,2013,15.07
Shawnee,2013,31.52
Sheridan,2013,18.74
Sherman,2013,16.32
Smith,2013,21.76
Stafford,2013,33.39
Stanton,2013,14.17
Stevens,2013,14.92
Sumner,2013,37.85
Thomas,2013,18.28
Trego,2013,17.06
Wabaunsee,2013,33.42
Wallace,2013,15.79
Washington,2013,29.35
Wichita,2013,15.34
Wilson,2013,47.56
Woodson,2013,41.41
Wyandotte,2013,33.93
Allen,2014,34.22
Anderson,2014,34.78
Atchison,2014,35.77
Barber,2014,24.31
Barton,2014,27.29
Bourbon,2014,32.99
Brown,2014,31.68
Butler,2014,27.45
Chase,2014,29.18
Chautauqua,2014,29.56
Cherokee,2014,35.71
Cheyenne,2014,19.61
Clark,2014,22.81
Clay,2014,27.78
Cloud,2014,27.48
Coffey,2014,32.78
Comanche,2014,24.37
Cowley,2014,29.76
Crawford,2014,33.91
Decatur,2014,20.55
Dickinson,2014,27.16
Doniphan,2014,34.56
Douglas,2014,35.85
Edwards,2014,23.86
Elk,2014,31.02
Ellis,2014,24.59
Ellsworth,2014,27.47
Finney,2014,21.87
Ford,2014,24.59
Franklin,2014,32.74
Geary,2014,28.23
Gove,2014,21.9
Graham,2014,21.26
Grant,2014,15.88
Gray,2014,21.35
Greeley,2014,15.9
Greenwood,2014,31.86
Hamilton,2014,14.38
Harper,2014,22.78
Harvey,2014,27.84
Haskell,2014,19.94
Hodgeman,2014,23.92
Jackson,2014,31.71
Jefferson,2014,34.78
Jewell,2014,26.4
Johnson,2014,35.09
Kearny,2014,17.03
Kingman,2014,26.26
Kiowa,2014,26.22
Labette,2014,35.05
Lane,2014,22.77
Leavenworth,2014,37.37
Lincoln,2014,23.25
Linn,2014,36.44
Logan,2014,21.75
Lyon,2014,28.62
Marion,2014,26.5
Marshall,2014,27.55
McPherson,2014,29.27
Meade,2014,18.71
Miami,2014,35.43
Mitchell,2014,24.72
Montgomery,2014,35.42
Morris,2014,29.16
Morton,2014,13.6
Nemaha,2014,29.19
Neosho,2014,33.74
Ness,2014,23.96
Norton,2014,21.45
Osage,2014,29.24
Osborne,2014,22.33
Ottawa,2014,23.59
Pawnee,2014,23.46
Phillips,2014,20.16
Pottawatomie,2014,29.35
Pratt,2014,24.97
Rawlins,2014,19.91
Reno,2014,25.52
Republic,2014,24.43
Rice,2014,27.07
Riley,2014,28.8
Rooks,2014,21.65
Rush,2014,24.75
Russell,2014,24.91
Saline,2014,28.54
Scott,2014,20.15
Sedgwick,2014,25.96
Seward,2014,16.24
Shawnee,2014,31.11
Sheridan,2014,20.24
Sherman,2014,18.51
Smith,2014,23.58
Stafford,2014,25.85
Stanton,2014,13.28
Stevens,2014,14.53
Sumner,2014,25.81
Thomas,2014,20.38
Trego,2014,21.58
Wabaunsee,2014,30.11
Wallace,2014,15.54
Washington,2014,24.59
Wichita,2014,18.12
Wilson,2014,32.14
Woodson,2014,35.28
Wyandotte,2014,36.29
Allen,2015,45.6
Anderson,2015,42.4
Atchison,2015,41.56
Barber,2015,35.68
Barton,2015,24.95
Bourbon,2015,48.99
Brown,2015,42.49
Butler,2015,39.02
Chase,2015,38.07
Chautauqua,2015,40.8
Cherokee,2015,55.86
Cheyenne,2015,21.02
Clark,2015,32.06
Clay,2015,36.12
Cloud,2015,31.58
Coffey,2015,43.38
Comanche,2015,31.47
Cowley,2015,39.5
Crawford,2015,52.51
Decatur,2015,22.87
Dickinson,2015,36.32
Doniphan,2015,43.1
Douglas,2015,45.37
Edwards,2015,28.28
Elk,2015,41.54
Ellis,2015,21.9
Ellsworth,2015,28.5
Finney,2015,26.43
Ford,2015,30.35
Franklin,2015,42.59
Geary,2015,38.07
Gove,2015,21.22
Graham,2015,22.04
Grant,2015,26.57
Gray,2015,31.51
Greeley,2015,22.92
Greenwood,2015,37.74
Hamilton,2015,23.29
Harper,2015,39.54
Harvey,2015,39.3
Haskell,2015,31.35
Hodgeman,2015,30.04
Jackson,2015,41.54
Jefferson,2015,43.41
Jewell,2015,31.77
Johnson,2015,46.96
Kearny,2015,23.74
Kingman,2015,35.68
Kiowa,2015,29.6
Labette,2015,52.71
Lane,2015,26.27
Leavenworth,2015,43.93
Lincoln,2015,26.6
Linn,2015,47.62
Logan,2015,21.66
Lyon,2015,39.03
Marion,2015,38.74
Marshall,2015,38.1
McPherson,2015,35.23
Meade,2015,35.32
Miami,2015,47.12
Mitchell,2015,27.74
Montgomery,2015,46.45
Morris,2015,39.35
Morton,2015,23.6
Nemaha,2015,39.61
Neosho,2015,48.38
Ness,2015,24.36
Norton,2015,23.57
Osage,2015,41.17
Osborne,2015,25.43
Ottawa,2015,30.47
Pawnee,2015,28.4
Phillips,2015,23.97
Pottawatomie,2015,41.43
Pratt,2015,31.06
Rawlins,2015,23.81
Reno,2015,30.57
Republic,2015,31.71
Rice,2015,28.62
Riley,2015,39.04
Rooks,2015,21.95
Rush,2015,23.08
Russell,2015,24.12
Saline,2015,31.86
Scott,2015,23.89
Sedgwick,2015,40.48
Seward,2015,39.01
Shawnee,2015,46.29
Sheridan,2015,22.32
Sherman,2015,22.16
Smith,2015,28.28
Stafford,2015,26.42
Stanton,2015,24.09
Stevens,2015,30.31
Sumner,2015,39.23
Thomas,2015,22.22
Trego,2015,22.41
Wabaunsee,2015,39.97
Wallace,2015,23.99
Washington,2015,36.05
Wichita,2015,23.1
Wilson,2015,41.17
Woodson,2015,41.16
Wyandotte,2015,44.14
Allen,2016,44.62
Anderson,2016,38.58
Atchison,2016,38.87
Barber,2016,29.13
Barton,2016,26.38
Bourbon,2016,38.31
Brown,2016,40.28
Butler,2016,43.72
Chase,2016,41.99
Chautauqua,2016,40.03
Cherokee,2016,41.33
Cheyenne,2016,20.05
Clark,2016,24.2
Clay,2016,35.84
Cloud,2016,33.84
Coffey,2016,40.89
Comanche,2016,25.19
Cowley,2016,41.62
Crawford,2016,40.68
Decatur,2016,22.48
Dickinson,2016,35.92
